Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2020-07-27 00:00:00+00:00,92.8,93.38,90.19,1527,90.5,126269,92.5,0.0,0.0
2020-07-28 00:00:00+00:00,91.69,92.55,91.46,1091,92.53,103384,92.0,0.0,0.0
2020-07-29 00:00:00+00:00,95.0,95.34,92.77,2374,92.77,264832,94.66,0.0,0.0
2020-07-30 00:00:00+00:00,108.47,111.58,103.76,7768,105.87,863060,108.08,0.0,0.0
2020-07-31 00:00:00+00:00,109.64,110.55,107.21,1576,108.78,144467,108.8,0.0,0.0
2020-08-03 00:00:00+00:00,109.12,110.03,107.88,1623,110.03,131341,108.93,0.0,0.0
2020-08-04 00:00:00+00:00,110.91,111.91,108.59,1552,108.59,137630,110.91,0.0,0.0
2020-08-05 00:00:00+00:00,111.28,111.96,109.95,1009,111.39,94750,111.09,0.0,0.0
2020-08-06 00:00:00+00:00,111.58,111.63,110.93,528,111.43,34761,111.24,0.0,0.0
2020-08-07 00:00:00+00:00,120.27,120.28,111.69,2929,111.69,397090,118.71,0.0,0.0
2020-08-10 00:00:00+00:00,122.37,124.76,120.5,1928,121.09,204735,122.94,0.0,0.0
2020-08-11 00:00:00+00:00,119.59,123.59,118.8,2645,123.45,248019,120.32,0.0,0.0
2020-08-12 00:00:00+00:00,121.06,122.85,119.99,1475,120.81,122501,121.68,0.0,0.0
2020-08-13 00:00:00+00:00,122.19,122.49,120.09,902,120.12,78117,121.77,0.0,0.0
2020-08-14 00:00:00+00:00,123.29,124.52,121.48,1134,121.48,104766,123.45,0.0,0.0
2020-08-17 00:00:00+00:00,122.92,124.3,122.6,796,123.79,77109,123.12,0.0,0.0
2020-08-18 00:00:00+00:00,122.69,123.76,122.05,952,123.03,136001,123.0,0.0,0.0
2020-08-19 00:00:00+00:00,122.99,124.09,122.66,1264,123.08,114962,123.27,0.0,0.0
2020-08-20 00:00:00+00:00,122.37,122.88,120.88,1061,121.85,76975,122.46,0.0,0.0
2020-08-21 00:00:00+00:00,122.72,123.61,121.73,794,122.12,85871,122.79,0.0,0.0
2020-08-24 00:00:00+00:00,123.78,124.32,122.8,966,123.35,115614,123.27,0.0,0.0
2020-08-25 00:00:00+00:00,122.76,125.25,122.04,1067,124.6,91335,122.9,0.0,0.0
2020-08-26 00:00:00+00:00,122.66,123.48,121.85,893,122.24,71121,122.72,0.0,0.0
2020-08-27 00:00:00+00:00,123.68,124.22,122.53,980,123.31,64527,123.25,0.0,0.0
2020-08-28 00:00:00+00:00,125.32,125.51,123.05,1285,123.73,107753,124.48,0.0,0.0
2020-08-31 00:00:00+00:00,126.3,127.33,124.69,1030,125.39,94265,126.4,0.0,0.0
