ticker,shares,entry_price,exit_price,entry_date,exit_date,pnl,return_pct,reason
FIX,33,449.65,444.1,2026-09-02,2026-09-02,-183.28,-1.23,Protective Stop-Loss
DE,92,445.0,451.01,2026-09-02,2026-09-02,553.08,1.35,Target 1 Take-Profit Harvest
QCOM,12,138.5,169.27,2026-09-02,2026-09-02,369.24,22.22,TP1_SCALE_OUT_50%
AMD,17,98.2,456.58,2026-09-02,2026-09-02,6092.46,364.95,TP1_SCALE_OUT_50%
PLTR,60,28.5,168.38,2026-09-02,2026-09-02,8392.8,490.81,TP1_SCALE_OUT_50%
CRWD,15,310.4,202.76,2026-09-02,2026-09-02,-1614.6,-34.68,STOP_LOSS
UNH,8,485.0,398.87,2026-09-02,2026-09-02,-689.04,-17.76,STOP_LOSS
MDT,22,82.1,93.57,2026-09-02,2026-09-02,252.34,13.97,TP1_SCALE_OUT_50%
VRTX,5,420.0,553.69,2026-09-02,2026-09-02,668.45,31.83,TP1_SCALE_OUT_50%
CVS,30,58.2,98.15,2026-09-02,2026-09-02,1198.5,68.64,TP1_SCALE_OUT_50%
STLD,15,128.5,243.43,2026-09-02,2026-09-02,1723.95,89.44,TP1_SCALE_OUT_50%
UNP,8,235.0,290.31,2026-09-02,2026-09-02,442.48,23.54,TP1_SCALE_OUT_50%
FDX,7,268.0,321.74,2026-09-02,2026-09-02,376.18,20.05,TP1_SCALE_OUT_50%
EXPE,14,142.0,309.46,2026-09-02,2026-09-02,2344.44,117.93,TP1_SCALE_OUT_50%
WFC,35,56.4,88.75,2026-09-02,2026-09-02,1132.25,57.36,TP1_SCALE_OUT_50%
DIS,19,95.5,108.76,2026-09-02,2026-09-02,251.94,13.88,TP1_SCALE_OUT_50%
QCOM,13,138.5,169.96,2026-09-02,2026-09-03,408.98,22.71,TP2_RUNNER_EXIT
AMD,18,98.2,457.06,2026-09-02,2026-09-03,6459.48,365.44,TP2_RUNNER_EXIT
PLTR,60,28.5,169.46,2026-09-02,2026-09-03,8457.6,494.6,TP2_RUNNER_EXIT
MDT,23,82.1,92.18,2026-09-02,2026-09-03,231.84,12.28,TP2_RUNNER_EXIT
VRTX,5,420.0,556.75,2026-09-02,2026-09-03,683.75,32.56,TP2_RUNNER_EXIT
CVS,30,58.2,97.23,2026-09-02,2026-09-03,1170.9,67.06,TP2_RUNNER_EXIT
STLD,15,128.5,247.64,2026-09-02,2026-09-03,1787.1,92.72,TP2_RUNNER_EXIT
UNP,8,235.0,289.73,2026-09-02,2026-09-03,437.84,23.29,TP2_RUNNER_EXIT
FDX,7,268.0,316.54,2026-09-02,2026-09-03,339.78,18.11,TP2_RUNNER_EXIT
EXPE,14,142.0,308.06,2026-09-02,2026-09-03,2324.84,116.94,TP2_RUNNER_EXIT
WFC,35,56.4,89.27,2026-09-02,2026-09-03,1150.45,58.28,TP2_RUNNER_EXIT
DIS,19,95.5,107.98,2026-09-02,2026-09-03,237.12,13.07,TP2_RUNNER_EXIT
CL,42,89.0,90.1,2026-09-02,2026-09-03,46.2,1.24,STOP_LOSS
ED,61,108.43,107.23,2026-09-08,2026-09-09,-73.2,-1.11,STOP_LOSS
KKR,40,107.25,104.15,2026-09-08,2026-09-09,-124.0,-2.89,STOP_LOSS
BG,52,126.33,126.67,2026-09-08,2026-09-10,17.68,0.27,MANUAL_DISCRETIONARY_EXIT
WRB,96,69.26,69.32,2026-09-08,2026-09-10,5.76,0.09,MANUAL_DISCRETIONARY_EXIT
AOS,93,56.93,57.39,2026-09-10,2026-09-11,42.78,0.81,STOP_LOSS
EMR,68,148.34,152.19000244140625,2026-09-10,2026-09-12,261.8,2.6,MODEL_SELL
FERG,45,221.97,222.5399932861328,2026-09-10,2026-09-12,25.65,0.26,STOP_LOSS
FDX,17,311.84,311.989990234375,2026-09-10,2026-09-12,2.55,0.05,STOP_LOSS
DAL,67,78.27,79.91000366210938,2026-09-10,2026-09-12,109.88,2.1,MODEL_SELL
GEV,8,930.84,957.27001953125,2026-09-10,2026-09-12,211.44,2.84,MODEL_SELL
LHX,21,248.94,245.5399932861328,2026-09-10,2026-09-12,-71.4,-1.37,MODEL_SELL
ETN,18,412.09,425.3699951171875,2026-09-10,2026-09-12,239.04,3.22,MODEL_SELL
DOV,40,188.93,189.0500030517578,2026-09-10,2026-09-12,4.8,0.06,MODEL_SELL
EXPD,53,190.44,192.60000610351562,2026-09-10,2026-09-12,114.48,1.13,MANUAL_PROFIT_TAKE_ALL
NEM,354,126.80999755859375,126.80999755859375,2026-09-12,2026-09-12,0.0,0.0,MANUAL_PROFIT_TAKE_ALL
